circuit_name,shots,optimization_level,noise_rate,num_qubits,depth,count_1q,count_2q,runtime,tvd,top_state,success_probability,n_qubits_config,depth_config,repeat
Bell,512,2,0.005,2,3,1,1,0.0027310848236083984,0.025390625,11,,2,,0
Bell,512,2,0.01,2,3,1,1,0.0023660659790039062,0.029296875,11,,2,,0
Bell,512,2,0.03,2,3,1,1,0.002587556838989258,0.044921875,11,,2,,0
Bell,512,2,0.05,2,3,1,1,0.002175569534301758,0.0546875,11,,2,,0
Bell,512,3,0.0,2,3,1,1,0.002320528030395508,0.021484375,11,,2,,0
Bell,512,3,0.001,2,3,1,1,0.002504110336303711,0.025390625,11,,2,,0
Bell,512,3,0.005,2,3,1,1,0.0027005672454833984,0.025390625,11,,2,,0
Bell,512,3,0.01,2,3,1,1,0.0023467540740966797,0.029296875,11,,2,,0
Bell,512,3,0.03,2,3,1,1,0.0024995803833007812,0.044921875,11,,2,,0
Bell,512,3,0.05,2,3,1,1,0.0024166107177734375,0.0546875,11,,2,,0
Bell,1024,0,0.0,2,3,1,1,0.003272533416748047,0.0078125,11,,2,,0
Bell,1024,0,0.001,2,3,1,1,0.004165172576904297,0.0107421875,11,,2,,0
Bell,1024,0,0.005,2,3,1,1,0.0029785633087158203,0.01171875,11,,2,,0
Bell,1024,0,0.01,2,3,1,1,0.004603862762451172,0.013671875,11,,2,,0
Bell,1024,0,0.03,2,3,1,1,0.0044634342193603516,0.04003906249999989,11,,2,,0
Bell,1024,0,0.05,2,3,1,1,0.003943204879760742,0.06054687499999989,11,,2,,0
Bell,1024,1,0.0,2,3,1,1,0.003044605255126953,0.0078125,11,,2,,0
Bell,1024,1,0.005,2,3,1,1,0.004267454147338867,0.01171875,11,,2,,0
Bell,1024,1,0.001,2,3,1,1,0.004038333892822266,0.0107421875,11,,2,,0
Bell,1024,1,0.01,2,3,1,1,0.003380298614501953,0.013671875,11,,2,,0
Bell,1024,1,0.03,2,3,1,1,0.003376483917236328,0.04003906249999989,11,,2,,0
Bell,1024,2,0.0,2,3,1,1,0.0032892227172851562,0.0078125,11,,2,,0
Bell,1024,1,0.05,2,3,1,1,0.0038084983825683594,0.06054687499999989,11,,2,,0
Bell,1024,2,0.001,2,3,1,1,0.003385782241821289,0.0107421875,11,,2,,0
Bell,1024,2,0.005,2,3,1,1,0.003599882125854492,0.01171875,11,,2,,0
Bell,1024,2,0.01,2,3,1,1,0.003192424774169922,0.013671875,11,,2,,0
Bell,1024,2,0.03,2,3,1,1,0.003770589828491211,0.04003906249999989,11,,2,,0
Bell,1024,2,0.05,2,3,1,1,0.004083156585693359,0.06054687499999989,11,,2,,0
Bell,1024,3,0.0,2,3,1,1,0.0032606124877929688,0.0078125,11,,2,,0
Bell,1024,3,0.001,2,3,1,1,0.00409388542175293,0.0107421875,11,,2,,0
Bell,1024,3,0.005,2,3,1,1,0.003134012222290039,0.01171875,11,,2,,0
Bell,1024,3,0.01,2,3,1,1,0.00406956672668457,0.013671875,11,,2,,0
Bell,1024,3,0.03,2,3,1,1,0.0031032562255859375,0.04003906249999989,11,,2,,0
Bell,1024,3,0.05,2,3,1,1,0.0038301944732666016,0.06054687499999989,11,,2,,0
Bell,2048,0,0.0,2,3,1,1,0.005514860153198242,0.0009765625,00,,2,,0
Bell,2048,0,0.001,2,3,1,1,0.005477190017700195,0.001953124999999889,00,,2,,0
Bell,2048,0,0.005,2,3,1,1,0.0058171749114990234,0.005859374999999889,11,,2,,0
Bell,2048,0,0.01,2,3,1,1,0.005419015884399414,0.010253906249999889,00,,2,,0
Bell,2048,0,0.03,2,3,1,1,0.006343841552734375,0.03222656249999989,11,,2,,0
Bell,2048,0,0.05,2,3,1,1,0.005959033966064453,0.05419921874999989,11,,2,,0
Bell,2048,1,0.0,2,3,1,1,0.005097389221191406,0.0009765625,00,,2,,0
Bell,2048,1,0.001,2,3,1,1,0.006125211715698242,0.001953124999999889,00,,2,,0
Bell,2048,1,0.005,2,3,1,1,0.005434989929199219,0.005859374999999889,11,,2,,0
Bell,2048,1,0.01,2,3,1,1,0.005780935287475586,0.010253906249999889,00,,2,,0
Bell,2048,1,0.03,2,3,1,1,0.005797624588012695,0.03222656249999989,11,,2,,0
Bell,2048,1,0.05,2,3,1,1,0.005399227142333984,0.05419921874999989,11,,2,,0
Bell,2048,2,0.0,2,3,1,1,0.00501251220703125,0.0009765625,00,,2,,0
Bell,2048,2,0.001,2,3,1,1,0.007021665573120117,0.001953124999999889,00,,2,,0
Bell,2048,2,0.005,2,3,1,1,0.006328582763671875,0.005859374999999889,11,,2,,0
Bell,2048,2,0.01,2,3,1,1,0.003987550735473633,0.010253906249999889,00,,2,,0
Bell,2048,2,0.03,2,3,1,1,0.005265712738037109,0.03222656249999989,11,,2,,0
Bell,2048,2,0.05,2,3,1,1,0.005888462066650391,0.05419921874999989,11,,2,,0
Bell,2048,3,0.0,2,3,1,1,0.0063855648040771484,0.0009765625,00,,2,,0
Bell,2048,3,0.001,2,3,1,1,0.0064280033111572266,0.001953124999999889,00,,2,,0
Bell,2048,3,0.005,2,3,1,1,0.006394863128662109,0.005859374999999889,11,,2,,0
Bell,2048,3,0.01,2,3,1,1,0.00866556167602539,0.010253906249999889,00,,2,,0
Bell,2048,3,0.03,2,3,1,1,0.005491018295288086,0.03222656249999989,11,,2,,0
Bell,2048,3,0.05,2,3,1,1,0.006963968276977539,0.05419921874999989,11,,2,,0
Bell,4096,0,0.0,2,3,1,1,0.01015782356262207,0.00537109375,11,,2,,0
Bell,4096,0,0.001,2,3,1,1,0.010025262832641602,0.006591796875,11,,2,,0
Bell,4096,0,0.005,2,3,1,1,0.010808706283569336,0.00830078125,11,,2,,0
Bell,4096,0,0.01,2,3,1,1,0.009064674377441406,0.010986328125,11,,2,,0
Bell,4096,0,0.03,2,3,1,1,0.00920557975769043,0.03100585937499989,11,,2,,0
Bell,4096,0,0.05,2,3,1,1,0.010111331939697266,0.05029296874999989,11,,2,,0
Bell,4096,1,0.0,2,3,1,1,0.008967161178588867,0.00537109375,11,,2,,0
Bell,4096,1,0.001,2,3,1,1,0.009121894836425781,0.006591796875,11,,2,,0
Bell,4096,1,0.005,2,3,1,1,0.011039018630981445,0.00830078125,11,,2,,0
Bell,4096,1,0.01,2,3,1,1,0.011631011962890625,0.010986328125,11,,2,,0
Bell,4096,1,0.03,2,3,1,1,0.009468793869018555,0.03100585937499989,11,,2,,0
Bell,4096,1,0.05,2,3,1,1,0.009975910186767578,0.05029296874999989,11,,2,,0
